Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
04/24/2013,Accion,006XX,S,Wabash,Avenue,Chicago,IL,60605,4,Retail Sales - Other,41.873347292,-87.626117642,"(41.873347292262835, -87.6261176416595)"
10/07/2013,WBDC,006XX,W,Cermak,Avenue,Chicago,IL,60608,25,Other Services,41.852790641,-87.64364221,"(41.8527906409648, -87.64364221017235)"
12/09/2013,Accion,006XX,W,Cermak,Rd.,Chicago,IL,60616,25,Wholesale,41.852790641,-87.64364221,"(41.8527906409648, -87.64364221017235)"
09/22/2015,CNI,067XX,S,South Chicago,Avenue,Chicago,IL,60637,7,Other Services,41.771818686,-87.614077935,"(41.771818686037356, -87.61407793483764)"
01/30/2014,Accion,068XX,S.,Pulaski,Avenue,Chicago,IL,60629,13,Retail Sales - Other,41.768013884,-87.722638914,"(41.7680138835568, -87.72263891437117)"
12/04/2012,CNI,069XX,S,Cornell,Avenue,Chicago,IL,60649,5,Food/Beverage,41.76821085,-87.584545179,"(41.76821084982079, -87.58454517904856)"
07/30/2014,Accion,069XX,W,Grand,Avenue,Chicago,IL,60707,36,Auto/Vehicle,41.923672582,-87.799705607,"(41.923672581800815, -87.79970560682945)"
04/09/2014,Accion,073XX,S,Artesian,Avenue,Chicago,IL,60629,18,Retail Sales - Other,41.759524141,-87.684473522,"(41.759524140995694, -87.6844735218134)"
01/13/2016,WBDC,074XX,S,Merrill,Street,Chicago,IL,60649,5,Construction/Repair,41.759232588,-87.572592157,"(41.759232587809855, -87.57259215676737)"
11/25/2014,Accion,074XX,W,Irving Pk.,Rd.,Chicago,IL,60634,38,Other Services,41.952711949,-87.814246268,"(41.952711949344845, -87.81424626793215)"
12/10/2012,Accion,007XX,E,75th,Street,Chicago,IL,60619,6,Medical Services,41.758680511,-87.605796969,"(41.75868051133181, -87.6057969688689)"
06/28/2013,Accion,007XX,N,Austin,Avenue,Chicago,IL,60644,29,Medical Services,41.894322521,-87.775263449,"(41.89432252118052, -87.7752634491091)"
12/16/2013,Accion,007XX,N,Franklin,Street,Chicago,IL,60654,42,Retail Stores,41.896317588,-87.635840254,"(41.89631758778245, -87.63584025366825)"
06/12/2013,WBDC,007XX,N,Sacramento,Street,Chicago,IL,60612,27,Other Services,41.895305694,-87.702341905,"(41.895305693631336, -87.70234190452632)"
01/30/2015,WBDC,007XX,W,Washington,Street,Chicago,IL,60661,42,Professional/Off Svc,41.883256433,-87.647365592,"(41.88325643339401, -87.64736559214563)"
07/10/2013,Accion,075XX,S,Clyde,Avenue,Chicago,IL,60649,8,Professional/Off Svc,41.757403429,-87.573811245,"(41.757403428767546, -87.57381124532786)"
03/09/2015,CNI,077XX,S,Albany,Avenue,Chicago,IL,60652,18,Other Services -Childcare,41.752003688,-87.700161747,"(41.75200368812746, -87.70016174705742)"
04/01/2015,CNI,077XX,S,Calumet,Avenue,Chicago,IL,60619,6,Other Services - Childcare,41.75322778,-87.616735646,"(41.753227780189036, -87.6167356456003)"
11/25/2014,Accion,078XX,S,Shore,Drive,Chicago,IL,60649,7,transportation,41.753007302,-87.549326948,"(41.753007302343704, -87.54932694804312)"
08/28/2015,Accion,080XX,S,Normal,Avenue,Chicago,IL,60620,17,Other Services,41.747411671,-87.636787879,"(41.74741167131879, -87.63678787937967)"
05/21/2014,Accion,080XX,S,Stony Island,Avenue,Chicago,IL,60617,8,Auto/Vehicle,41.748143549,-87.586046897,"(41.74814354870762, -87.58604689738195)"
09/16/2014,CNI,081XX,S,Cornell,Avenue,Chicago,IL,60617,8,Construction,41.746689547,-87.584327648,"(41.74668954706293, -87.58432764795074)"
10/04/2013,WBDC,081XX,S,Langley,St,Chicago,IL,60619,6,Education,41.746075485,-87.607663164,"(41.746075484832126, -87.60766316408197)"
01/15/2016,CNI,008XX,E,40th ,Street,Chicago,IL,60653,4,Other Services,41.821834711,-87.604472033,"(41.82183471067724, -87.6044720325633)"
12/17/2013,Accion,008XX,S,Wabash,Avenue,Chicago,IL,60605,4,Retail Sales - Other,41.871184354,-87.62606949,"(41.87118435389697, -87.62606949029313)"
02/26/2015,Accion,008XX,S,Wabash,Avenue,Chicago,IL,60605,4,Electronics,41.871184354,-87.62606949,"(41.87118435389697, -87.62606949029313)"
06/04/2015,WBDC,008XX,W,63rd,Street,Chicago,IL,60621,20,,41.779826797,-87.646902618,"(41.77982679720496, -87.64690261797884)"
04/01/2015,CNI,085XX,S,Racine,Avenue,Chicago,IL,60620,21,Other Services - Tire Repair,41.738069556,-87.653544944,"(41.738069556335596, -87.65354494357217)"
08/31/2015,Accion,087XX,S,Racine,Avenue,Chicago,IL,60620,21,Retail Services - Other,41.734425227,-87.653443031,"(41.734425226572206, -87.65344303052751)"
12/10/2012,Accion,087XX,S,Racine,Avenue,Chicago,IL,60620,21,Retail Sales - Other,41.734425227,-87.653443031,"(41.734425226572206, -87.65344303052751)"
08/06/2015,CNI,089XX,S,Blackstone,Street,Chicago,IL,60619,8,Transportation,41.731729337,-87.588167875,"(41.731729336641656, -87.5881678746066)"
12/11/2015,CNI,089XX,S,Euclid,Avenue,Chicago,IL,60617,8,Other Services - Education,41.731882963,-87.576953624,"(41.73188296339253, -87.57695362361743)"
04/27/2013,Accion,092XX,S,Anthony,Avenue,Chicago,IL,60617,10,Day Care,41.726626307,-87.554414097,"(41.72662630700125, -87.5544140970935)"
02/16/2016,CNI,092XX,S,Commercial, Avenue ,Chicago,IL,60617,7,Transportation,41.726813141,-87.551328661,"(41.72681314062514, -87.55132866101212)"
05/07/2013,Accion,093XX,S,Halsted,Street,Chicago,IL,60620,21,Beauty/Salon Services,41.72357081,-87.643414424,"(41.72357080995004, -87.64341442435766)"
12/05/2014,Accion,094XX,S,Perry,Avenue,Chicago,IL,60620,21,Day Care,41.722006907,-87.626390322,"(41.72200690722266, -87.62639032219802)"
05/10/2013,Accion,009XX,E,47th,Street,Chicago,IL,60653,4,Beauty/Salon Services,41.809696835,-87.601757992,"(41.809696834775934, -87.60175799174536)"
06/29/2015,CNI,009XX,W,North,Avenue,Chicago,IL,60642,21,Transportation,41.910951382,-87.653010859,"(41.910951381838736, -87.65301085946902)"
04/19/2013,WBDC,009XX,W,Van Buren,Street,Chicago,IL,60607,2,Beauty/Salon Services,41.876716551,-87.651574752,"(41.876716550619804, -87.65157475168087)"
08/05/2013,CNI,009XX,W,Washington,Street,Chicago,IL,60607,27,Other Services,41.883179433,-87.651753296,"(41.883179432855336, -87.65175329591203)"
08/05/2013,CNI,009XX,W,Washington,Street,Chicago,IL,60607,27,Other Services,41.883179433,-87.651753296,"(41.883179432855336, -87.65175329591203)"
08/05/2013,CNI,009XX,W,Washington,Street,Chicago,IL,60607,27,Construction/Repair,41.883179433,-87.651753296,"(41.883179432855336, -87.65175329591203)"
11/18/2014,Accion,095XX,S,Constance,Street,Chicago,IL,60617,7,Day Care,41.720988133,-87.579112453,"(41.720988132805026, -87.57911245263031)"
04/22/2013,CNI,095XX,S,King,Drive,Chicago,IL,60628,6,Professional/Off Svc,41.720390674,-87.614253606,"(41.72039067363381, -87.614253605716)"
