Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
05/13/2013,Accion,002XX,N,Pulaski,Avenue,Chicago,IL,60624,28,Food/Beverage,41.884873046,-87.725935624,"(41.88487304630816, -87.72593562397961)"
04/05/2013,Accion,002XX,S,Wacker,Drive,Chicago,IL,60606,42,Other Services,41.878138181,-87.637064995,"(41.87813818115573, -87.63706499520218)"
11/10/2012,Accion,002XX,W,Eugenie,Street,Chicago,IL,60614,2,Food/Beverage,41.912962356,-87.636673056,"(41.91296235590175, -87.63667305628802)"
04/29/2013,Accion,002XX,W,St. Paul,Street,Chicago,IL,60614,43,Professional/Off Svc,41.913707771,-87.636695887,"(41.913707770641054, -87.63669588681894)"
03/17/2015,Accion,025XX,W,16th,Street,Chicago,IL,60608,28,Entertainment,41.859403662,-87.690337461,"(41.859403662250706, -87.69033746056911)"
11/13/2014,Accion,025XX,W,Lawrence,Avenue,Chicago,IL,60625,40,Food/Beverage,41.968685531,-87.693369954,"(41.968685530685526, -87.69336995375313)"
03/21/2013,Accion,026XX,W,Toughy,Avenue,Chicago,IL,60645,50,Medical Services,42.012241707,-87.697008884,"(42.01224170721509, -87.69700888423647)"
05/01/2015,WBDC,027XX,W,Potomac,Avenue,Chicago,IL,60622,26,Retail Sales - Other,41.904865295,-87.696497802,"(41.90486529450432, -87.69649780184278)"
08/16/2013,CNI,028XX,E,79th,Street,Chicago,IL,60649,7,Other Services,41.751993753,-87.554961229,"(41.75199375346897, -87.554961229127)"
07/15/2015,CNI,028XX,E,79th,Street,Chicago,IL,60649,27,Other Services,41.751993753,-87.554961229,"(41.75199375346897, -87.554961229127)"
02/02/2015,Accion,029XX,N,Lincoln,Avenue,Chicago,IL,60657,32,Retail Stores,41.935398499,-87.662897921,"(41.93539849864407, -87.66289792126777)"
10/31/2013,Accion,029XX,W,Pershing,Rd.,Chicago,IL,60632,12,Food/Beverage,41.822807198,-87.69911434,"(41.82280719802566, -87.69911433962355)"
02/16/2016,Accion,029XX,W,Pershing,Rd.,Chicago,IL,60632,12,Food/Beverage,41.822807198,-87.69911434,"(41.82280719802566, -87.69911433962355)"
04/24/2013,Accion,030XX,N,Central,Park,Chicago,IL,60618,35,Other Services,41.936721765,-87.717464528,"(41.936721764621424, -87.71746452842577)"
08/30/2013,Accion,030XX,N,Lincoln,Avenue,Chicago,IL,60641,47,Retail Sales - Other,41.937149264,-87.665352278,"(41.93714926386188, -87.6653522782535)"
12/10/2012,Accion,030XX,N,Lincoln,Avenue,Chicago,IL,60657,32,Retail Stores,41.937149264,-87.665352278,"(41.93714926386188, -87.6653522782535)"
02/02/2016,Accion,031XX,N,Broadway,Avenue,Chicago,IL,60657,44,Food/Beverage,41.939120097,-87.644515275,"(41.93912009672058, -87.64451527453552)"
04/14/2014,Accion,032XX,W,71st St.,Place,Chicago,IL,60629,17,Day Care,,,
10/20/2012,Accion,032XX,W,Douglas,Boulevard,Chicago,IL,60623,24,Professional/Off Svc,41.863049108,-87.707581493,"(41.86304910767722, -87.70758149315465)"
05/31/2013,Accion,032XX,W.,84th,Street,Chicago,IL,60652,18,Other Services,41.740745482,-87.704159892,"(41.74074548155806, -87.70415989203823)"
08/25/2013,Accion,033XX,N,Oleander,St.,Chicago,IL,60634,29,Construction/Repair,41.94107163,-87.815556357,"(41.94107163033972, -87.81555635660924)"
08/21/2013,Accion,033XX,N,Paulina,Street,Chicago,IL,60626,47,Professional/Off Svc,41.942987046,-87.671331836,"(41.94298704612548, -87.67133183587026)"
03/20/2013,Accion,033XX,W,59th ,Street,Chicago,IL,60629,23,Beauty/Salon Services,41.786287906,-87.707836726,"(41.786287905719405, -87.70783672630208)"
02/25/2015,Accion,033XX,W,BRYN MAWR,Avenue,CHICAGO,IL,60659,39,Restaurant - Full Service,41.98312144,-87.713368491,"(41.98312144049005, -87.71336849119527)"
06/26/2013,WBDC,033XX,W,Foster,Avenue,Chicago,IL,60625,39,Retail Sales - Other,41.975806213,-87.713183389,"(41.975806213497044, -87.71318338948898)"
02/23/2015,Accion,034XX,N,Pulaski,Avenue,Chicago,IL,60641,30,Restaurant - Full Service,41.944183101,-87.727478918,"(41.9441831009194, -87.72747891756883)"
07/03/2013,CNI,034XX,W,76th,Place,Chicago,IL,60652,18,Construction/Repair,41.754695049,-87.709448594,"(41.75469504917642, -87.7094485942623)"
12/16/2013,Accion,034XX,W,Armitage,Avenue,Chicago,IL,60647,26,Retail Sales - Other,41.917434655,-87.713445161,"(41.917434654755205, -87.71344516107746)"
07/24/2014,Accion,034XX,W,Armitage,Avenue,Chicago,IL,60647,26,Retail Sales - Other,41.917434655,-87.713445161,"(41.917434654755205, -87.71344516107746)"
05/01/2014,CNI,003XX,E,115th,Street,Chicago,IL,60628,9,Construction/Repair,41.685533059,-87.6135524,"(41.685533058710725, -87.6135524000206)"
02/06/2015,Accion,003XX,E,71st,Street,Chicago,IL,60619,6,Clothing Design/Mfg,41.765795405,-87.616487173,"(41.76579540461219, -87.61648717327338)"
03/15/2013,CNI,003XX,E,79th,Street,Chicago,IL,60619,6,Retail Sales - Other,41.75120691,-87.616146156,"(41.751206909502876, -87.61614615625861)"
09/15/2014,CNI,003XX,E,Ohio,Street,Chicago,IL,60611,42,Real Estate Consultant,41.892741648,-87.618288156,"(41.89274164784599, -87.6182881563146)"
10/31/2013,WBDC,003XX,S,Michigan,Avenue,Chicago,IL,60604,2,Transportation,41.877066783,-87.62443921,"(41.87706678314336, -87.62443921026329)"
06/25/2013,WBDC,003XX,W,18th,Street,Chicago,IL,60616,25,Retail Sales - Other,41.857814473,-87.636746844,"(41.857814473347254, -87.63674684444798)"
07/15/2013,WBDC,003XX,W,18th,Street,Chicago,IL,60616,25,Construction/Repair,41.857814473,-87.636746844,"(41.857814473347254, -87.63674684444798)"
08/07/2015,WBDC,003XX,W,18th,Street,Chicago,IL,60616,25,Construction/Repair,41.857814473,-87.636746844,"(41.857814473347254, -87.63674684444798)"
02/13/2015,Accion,035XX,W,63rd,Street,Chicago,IL,60629,23,Restaurant - Full Service,41.77893795,-87.712384286,"(41.778937949592226, -87.7123842859852)"
11/15/2013,Accion,036XX,N,Halsted,Street,Chicago,IL,60613,46,Beauty/Salon Services,41.948799126,-87.649678275,"(41.948799125611906, -87.64967827509176)"
03/19/2013,Accion,036XX,N,Narragansett,Avenue,Chicago,IL,60634,36,Other Services,41.947201266,-87.786459059,"(41.94720126576405, -87.78645905944289)"
11/10/2012,Accion,036XX,S,Canal,Street,Chicago,IL,60609,11,Clothing/Material Production,41.827515865,-87.637920743,"(41.827515865497226, -87.63792074347494)"
12/23/2015,WBDC,036XX,S,Halsted,Street,Chicago,IL,60609,11,Day Care,41.827682151,-87.646181967,"(41.82768215078157, -87.64618196741296)"
08/26/2014,Accion,037XX,N,Saint Louis,Avenue,Chicago,IL,60618,35,Retail Stores,41.949861008,-87.715400981,"(41.94986100830231, -87.71540098141125)"
11/19/2014,Accion,037XX,W,Cermak,Rd.,CHICAGO,IL,60623,22,Retail Stores,41.851722608,-87.719448564,"(41.85172260792974, -87.71944856377641)"
11/25/2015,Accion,038XX,N,Broadway,Street,Chicago,IL,60613,46,Beauty/Salon Services,41.952667333,-87.649798106,"(41.95266733269854, -87.64979810561019)"
,WBDC,038XX,N,Cicero,Avenue,Chicago,IL,60641,38,Retail Sales - Other,41.951291257,-87.74740523,"(41.95129125678023, -87.74740522995823)"
08/15/2014,Accion,038XX,N,Lincoln,Avenue,Chicago,IL,60613,47,Education,41.951797588,-87.677279839,"(41.951797587533974, -87.67727983909802)"
04/10/2012,Accion,038XX,N,Lincoln,Avenue,Chicago,IL,60613,47,Day Care,41.951797588,-87.677279839,"(41.951797587533974, -87.67727983909802)"
06/30/2014,Accion,038XX,W,Chicago,Avenue,Chicago,IL,60651,37,Professional/Off Svc,41.895502619,-87.723239039,"(41.89550261898345, -87.72323903868359)"
05/23/2013,Accion,038XX,W,Chicago,Avenue,Chicago,IL,60651,37,Professional/Off Svc,41.895502619,-87.723239039,"(41.89550261898345, -87.72323903868359)"
12/16/2015,Accion,038XX,W,Montrose,Avenue,Chicago,IL,60618,35,Food/Beverage,41.961091681,-87.72500737,"(41.96109168061752, -87.72500736958689)"
03/11/2013,Accion,039XX,N,Seeley,Avenue,Chicago,IL,60618,47,Arts/Crafts Production,41.953819581,-87.680104184,"(41.95381958139907, -87.6801041836942)"
05/30/2013,CNI,039XX,W,87th,Street,Chicago,IL,60652,18,Transportation,41.734977335,-87.720972482,"(41.73497733454709, -87.72097248185597)"
03/12/2015,Accion,039XX,W,Armitage,Avenue,Chicago ,IL,60647,26,Auto/Vehicle,41.917280964,-87.726185515,"(41.91728096383126, -87.72618551488333)"
10/18/2013,CNI,039XX,W,Lawrence,Avenue,Chicago,IL,60625,39,Professional/Off Svc,41.968356466,-87.727656367,"(41.96835646617037, -87.72765636726649)"
05/08/2014,CNI,039XX,W,Lawrence,Avenue,Chicago,IL,60625,39,Construction/Repair,41.968356466,-87.727656367,"(41.96835646617037, -87.72765636726649)"
04/24/2013,Accion,040XX,N,Drake,Avenue,Chicago,IL,60618,35,Other Services,41.955304751,-87.716779636,"(41.955304751455095, -87.71677963551495)"
07/08/2014,Accion,040XX,N,Drake,Avenue,Chicago,IL,60618,35,Other Services,41.955304751,-87.716779636,"(41.955304751455095, -87.71677963551495)"
09/30/2014,Accion,040XX,S,Indiana,Street,Chicago,IL,60653,3,Day Care,41.820488979,-87.621662243,"(41.820488978539466, -87.62166224260152)"
05/18/2013,Accion,040XX,S,Kedzie,Avenue,Chicago,IL,60632,12,Food/Beverage,41.819318843,-87.704557578,"(41.8193188432732, -87.70455757770209)"
02/10/2016,CNI,040XX,S,Lake , Park ,Chicago,IL,60653,5,Manufacturing,41.821064248,-87.601609066,"(41.821064248495006, -87.60160906609795)"
11/30/2013,Accion,041XX,S,Ashland,Avenue,Chicago,IL,60609,12,Other Services,41.818054515,-87.665341967,"(41.81805451475395, -87.66534196737447)"
03/23/2015,Accion,041XX,S,Maplewood,Avenue,Chicago,IL,60632,12,Manufacturing,41.817755662,-87.68852451,"(41.81775566229915, -87.68852451006609)"
08/30/2013,Accion,041XX,W,81st,Street,Chicago,IL,60652,18,Professional/Off Svc,41.745819843,-87.726010365,"(41.74581984340114, -87.72601036482762)"
06/16/2015,Accion,042XX,N,Cicero,Avenue,Chicago,IL,60641,45,Professional/Off Svc,41.958555449,-87.747611909,"(41.9585554491951, -87.74761190880362)"
11/10/2012,Accion,043XX,N,Campbell,Street,Chicago,IL,60618,47,Wholesale,41.961010339,-87.691944203,"(41.961010339066895, -87.6919442026702)"
